Volcano Name,Eruption Type,Max. VEI,Country,Volcanic_Region,Volcano_type,Summit,Year,Latitude_value,Longitude_value
Dieng Volcanic Complex,Confirmed Eruption,0,Indonesia,Indonesia,2,2565,2021,-7.2,109.879
Telica,Confirmed Eruption,0,Nicaragua,México and Central America,14,1036,2021,12.606,-86.84
Tengger Caldera,Confirmed Eruption,0,Indonesia,Indonesia,14,2329,2021,-7.942,112.95
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2021,-21.244,55.708
Krysuvik-Trolladyngja,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,5,360,2021,63.917,-22.067
Veniaminof,Confirmed Eruption,0,United States,Alaska,14,2507,2021,56.17,-159.38
Semisopochnoi,Confirmed Eruption,0,United States,Alaska,14,1221,2021,51.93,179.58
Raung,Confirmed Eruption,0,Indonesia,Indonesia,14,3260,2021,-8.119,114.056
Merapi,Confirmed Eruption,1,Indonesia,Indonesia,14,2910,2020,-7.54,110.446
Soufriere St. Vincent,Confirmed Eruption,4,Saint Vincent and the Grenadines,West Indies,14,1220,2020,13.33,-61.18
San Cristobal,Confirmed Eruption,3,Nicaragua,México and Central America,14,1745,2020,12.702,-87.004
Tengger Caldera,Confirmed Eruption,1,Indonesia,Indonesia,14,2329,2020,-7.942,112.95
Kilauea,Confirmed Eruption,0,United States,Hawaii and Pacific Ocean,13,1222,2020,19.421,-155.287
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2020,-21.244,55.708
Lewotolok,Confirmed Eruption,2,Indonesia,Indonesia,14,1431,2020,-8.274,123.508
Kikai,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",1,704,2020,30.793,130.305
Kavachi,Confirmed Eruption,0,Solomon Islands,Melanesia and Australia,16,-20,2020,-8.991,157.979
Kuchinoerabujima,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",14,657,2020,30.443,130.217
Sinabung,Confirmed Eruption,3,Indonesia,Indonesia,14,2460,2020,3.17,98.392
Telica,Confirmed Eruption,1,Nicaragua,México and Central America,14,1036,2020,12.606,-86.84
Raung,Confirmed Eruption,1,Indonesia,Indonesia,14,3260,2020,-8.119,114.056
Turrialba,Confirmed Eruption,1,Costa Rica,México and Central America,14,3340,2020,10.025,-83.767
Copahue,Confirmed Eruption,2,Chile-Argentina,South America,14,2953,2020,-37.856,-71.183
Cleveland,Confirmed Eruption,3,United States,Alaska,14,1730,2020,52.825,-169.944
Kikai,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",1,704,2020,30.793,130.305
Karymsky,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,14,1513,2020,54.049,159.443
Soputan,Confirmed Eruption,2,Indonesia,Indonesia,14,1785,2020,1.112,124.737
Kavachi,Confirmed Eruption,0,Solomon Islands,Melanesia and Australia,16,-20,2020,-8.991,157.979
Sarychev Peak,Confirmed Eruption,1,Russia,Kuril Islands,14,1496,2020,48.092,153.2
San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,14,2130,2020,13.434,-88.269
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2020,-21.244,55.708
Rincon de la Vieja,Confirmed Eruption,2,Costa Rica,México and Central America,2,1916,2020,10.83,-85.324
Fernandina,Confirmed Eruption,0,Ecuador,South America,13,1476,2020,-0.37,-91.55
Taal,Confirmed Eruption,4,Philippines,Philippines and SE Asia,1,311,2020,14.002,120.993
Kuchinoerabujima,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",14,657,2020,30.443,130.217
Whakaari/White Island,Confirmed Eruption,2,New Zealand,New Zealand to Fiji,14,294,2019,-37.52,177.18
Semisopochnoi,Confirmed Eruption,1,United States,Alaska,14,1221,2019,51.93,179.58
Nishinoshima,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",1,25,2019,27.247,140.874
Kikai,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",1,704,2019,30.793,130.305
Lateiki,Confirmed Eruption,1,Tonga,New Zealand to Fiji,16,43,2019,-19.18,-174.87
Asamayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",2,2568,2019,36.406,138.523
Copahue,Confirmed Eruption,2,Chile-Argentina,South America,14,2953,2019,-37.856,-71.183
Tangkuban Parahu,Confirmed Eruption,1,Indonesia,Indonesia,14,2084,2019,-6.77,107.6
Shishaldin,Confirmed Eruption,3,United States,Alaska,14,2857,2019,54.756,-163.97
Semisopochnoi,Confirmed Eruption,1,United States,Alaska,14,1221,2019,51.93,179.58
Ulawun,Confirmed Eruption,4,Papua New Guinea,Melanesia and Australia,14,2334,2019,-5.05,151.33
Ubinas,Confirmed Eruption,2,Peru,South America,14,5672,2019,-16.355,-70.903
Raikoke,Confirmed Eruption,3,Russia,Kuril Islands,14,551,2019,48.292,153.25
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2019,-21.244,55.708
Great Sitkin,Confirmed Eruption,1,United States,Alaska,14,1740,2019,52.076,-176.13
Sarychev Peak,Confirmed Eruption,2,Russia,Kuril Islands,14,1496,2019,48.092,153.2
Colima,Confirmed Eruption,1,Mexico,México and Central America,14,3850,2019,19.514,-103.62
Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",1,1592,2019,32.884,131.104
Klyuchevskoy,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,14,4754,2019,56.056,160.642
Sangay,Confirmed Eruption,2,Ecuador,South America,14,5286,2019,-2.005,-78.341
San Cristobal,Confirmed Eruption,1,Nicaragua,México and Central America,14,1745,2019,12.702,-87.004
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2019,-21.244,55.708
Tengger Caldera,Confirmed Eruption,2,Indonesia,Indonesia,14,2329,2019,-7.942,112.95
Karymsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,14,1513,2019,54.049,159.443
Poas,Confirmed Eruption,2,Costa Rica,México and Central America,14,2697,2019,10.2,-84.233
Sinabung,Confirmed Eruption,4,Indonesia,Indonesia,14,2460,2019,3.17,98.392
Tinakula,Confirmed Eruption,2,Solomon Islands,Melanesia and Australia,14,796,2018,-10.386,165.804
Karangetang,Confirmed Eruption,2,Indonesia,Indonesia,14,1797,2018,2.781,125.407
Planchon-Peteroa,Confirmed Eruption,1,Chile,South America,14,3977,2018,-35.223,-70.568
Kuchinoerabujima,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",14,657,2018,30.443,130.217
Gamalama,Confirmed Eruption,1,Indonesia,Indonesia,14,1715,2018,0.8,127.33
Soputan,Confirmed Eruption,3,Indonesia,Indonesia,14,1785,2018,1.112,124.737
Barren Island,Confirmed Eruption,1,India,Indonesia,14,354,2018,12.278,93.858
Ulawun,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,14,2334,2018,-5.05,151.33
Sarychev Peak,Confirmed Eruption,2,Russia,Kuril Islands,14,1496,2018,48.092,153.2
Semisopochnoi,Confirmed Eruption,1,United States,Alaska,14,1221,2018,51.93,179.58
Veniaminof,Confirmed Eruption,1,United States,Alaska,14,2507,2018,56.17,-159.38
Alaid,Confirmed Eruption,1,Russia,Kuril Islands,14,2285,2018,50.861,155.565
Sangay,Confirmed Eruption,2,Ecuador,South America,14,5286,2018,-2.005,-78.341
Rincon de la Vieja,Confirmed Eruption,1,Costa Rica,México and Central America,2,1916,2018,10.83,-85.324
Nishinoshima,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",1,25,2018,27.247,140.874
Mayotte,Confirmed Eruption,0,France,Middle East and Indian Ocean,13,660,2018,-12.83,45.17
"Negra, Sierra",Confirmed Eruption,2,Ecuador,South America,13,1124,2018,-0.83,-91.17
Telica,Confirmed Eruption,1,Nicaragua,México and Central America,14,1036,2018,12.606,-86.84
Krakatau,Confirmed Eruption,3,Indonesia,Indonesia,1,155,2018,-6.102,105.423
Fernandina,Confirmed Eruption,1,Ecuador,South America,13,1476,2018,-0.37,-91.55
Great Sitkin,Confirmed Eruption,1,United States,Alaska,14,1740,2018,52.076,-176.13
Ulawun,Confirmed Eruption,1,Papua New Guinea,Melanesia and Australia,14,2334,2018,-5.05,151.33
Merapi,Confirmed Eruption,3,Indonesia,Indonesia,14,2910,2018,-7.54,110.446
Karymsky,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,14,1513,2018,54.049,159.443
Marapi,Confirmed Eruption,2,Indonesia,Indonesia,2,2885,2018,-0.38,100.474
San Cristobal,Confirmed Eruption,1,Nicaragua,México and Central America,14,1745,2018,12.702,-87.004
Kerinci,Confirmed Eruption,1,Indonesia,Indonesia,14,3800,2018,-1.697,101.264
Nyamulagira,Confirmed Eruption,0,DR Congo,Africa and Red Sea,13,3058,2018,-1.408,29.2
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2018,-21.244,55.708
Dieng Volcanic Complex,Confirmed Eruption,1,Indonesia,Indonesia,2,2565,2018,-7.2,109.879
Kirishimayama,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",13,1700,2018,31.934,130.862
Sangay,Confirmed Eruption,1,Ecuador,South America,14,5286,2018,-2.005,-78.341
Karangetang,Confirmed Eruption,1,Indonesia,Indonesia,14,1797,2018,2.781,125.407
Kusatsu-Shiranesan,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",14,2165,2018,36.618,138.528
San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,14,2130,2018,13.434,-88.269
Mayon,Confirmed Eruption,2,Philippines,Philippines and SE Asia,14,2462,2018,13.257,123.685
Kadovar,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,14,365,2018,-3.608,144.588
Kanlaon,Confirmed Eruption,2,Philippines,Philippines and SE Asia,14,2435,2017,10.412,123.132
Agung,Confirmed Eruption,3,Indonesia,Indonesia,14,2997,2017,-8.343,115.508
Dempo,Confirmed Eruption,1,Indonesia,Indonesia,14,3142,2017,-4.016,103.121
Tinakula,Confirmed Eruption,3,Solomon Islands,Melanesia and Australia,14,796,2017,-10.386,165.804
Sarychev Peak,Confirmed Eruption,2,Russia,Kuril Islands,14,1496,2017,48.092,153.2
Kirishimayama,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",13,1700,2017,31.934,130.862
Ambae,Confirmed Eruption,3,Vanuatu,Melanesia and Australia,13,1496,2017,-15.389,167.835
Fernandina,Confirmed Eruption,2,Ecuador,South America,13,1476,2017,-0.37,-91.55
San Cristobal,Confirmed Eruption,3,Nicaragua,México and Central America,14,1745,2017,12.702,-87.004
Kerinci,Confirmed Eruption,1,Indonesia,Indonesia,14,3800,2017,-1.697,101.264
Sangay,Confirmed Eruption,2,Ecuador,South America,14,5286,2017,-2.005,-78.341
Sangeang Api,Confirmed Eruption,2,Indonesia,Indonesia,2,1912,2017,-8.2,119.07
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2017,-21.244,55.708
Ulawun,Confirmed Eruption,1,Papua New Guinea,Melanesia and Australia,14,2334,2017,-5.05,151.33
Bulusan,Confirmed Eruption,1,Philippines,Philippines and SE Asia,14,1535,2017,12.769,124.056
Marapi,Confirmed Eruption,1,Indonesia,Indonesia,2,2885,2017,-0.38,100.474
Karymsky,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,14,1513,2017,54.049,159.443
Copahue,Confirmed Eruption,1,Chile-Argentina,South America,14,2953,2017,-37.856,-71.183
Rincon de la Vieja,Confirmed Eruption,2,Costa Rica,México and Central America,2,1916,2017,10.83,-85.324
Dieng Volcanic Complex,Confirmed Eruption,1,Indonesia,Indonesia,2,2565,2017,-7.2,109.879
Nishinoshima,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",1,25,2017,27.247,140.874
Poas,Confirmed Eruption,1,Costa Rica,México and Central America,14,2697,2017,10.2,-84.233
"Lengai, Ol Doinyo",Confirmed Eruption,0,Tanzania,Africa and Red Sea,14,2962,2017,-2.764,35.914
Kick 'em Jenny,Confirmed Eruption,0,Grenada,West Indies,16,-185,2017,12.3,-61.64
Aira,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",1,1117,2017,31.593,130.657
Kambalny,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,14,2116,2017,51.306,156.875
Krakatau,Confirmed Eruption,1,Indonesia,Indonesia,1,155,2017,-6.102,105.423
San Cristobal,Confirmed Eruption,1,Nicaragua,México and Central America,14,1745,2017,12.702,-87.004
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2017,-21.244,55.708
Unnamed,Confirmed Eruption,0,Tonga,New Zealand to Fiji,16,-296,2017,-20.852,-175.55
Barren Island,Confirmed Eruption,2,India,Indonesia,14,354,2017,12.278,93.858
San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,14,2130,2017,13.434,-88.269
Bogoslof,Confirmed Eruption,3,United States,Alaska,16,150,2016,53.93,-168.03
Chirinkotan,Confirmed Eruption,3,Russia,Kuril Islands,14,724,2016,48.98,153.48
Nyamulagira,Confirmed Eruption,0,DR Congo,Africa and Red Sea,13,3058,2016,-1.408,29.2
Zhupanovsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,3,2899,2016,53.589,159.15
Kerinci,Confirmed Eruption,1,Indonesia,Indonesia,14,3800,2016,-1.697,101.264
Sabancaya,Confirmed Eruption,3,Peru,South America,14,5960,2016,-15.787,-71.857
Ebeko,Confirmed Eruption,2,Russia,Kuril Islands,14,1103,2016,50.686,156.014
Ulawun,Confirmed Eruption,1,Papua New Guinea,Melanesia and Australia,14,2334,2016,-5.05,151.33
Asosan,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",1,1592,2016,32.884,131.104
Karymsky,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,14,1513,2016,54.049,159.443
"Lengai, Ol Doinyo",Confirmed Eruption,0,Tanzania,Africa and Red Sea,14,2962,2016,-2.764,35.914
Whakaari/White Island,Confirmed Eruption,1,New Zealand,New Zealand to Fiji,14,294,2016,-37.52,177.18
Ubinas,Confirmed Eruption,2,Peru,South America,14,5672,2016,-16.355,-70.903
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2016,-21.244,55.708
Gamalama,Confirmed Eruption,1,Indonesia,Indonesia,14,1715,2016,0.8,127.33
Rinjani,Confirmed Eruption,2,Indonesia,Indonesia,14,3726,2016,-8.42,116.47
Chikurachki,Confirmed Eruption,2,Russia,Kuril Islands,14,1781,2016,50.324,155.461
San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,14,2130,2016,13.434,-88.269
Bulusan,Confirmed Eruption,2,Philippines,Philippines and SE Asia,14,1535,2016,12.769,124.056
Poas,Confirmed Eruption,1,Costa Rica,México and Central America,14,2697,2016,10.2,-84.233
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2016,-21.244,55.708
Whakaari/White Island,Confirmed Eruption,1,New Zealand,New Zealand to Fiji,14,294,2016,-37.52,177.18
Bristol Island,Confirmed Eruption,1,United Kingdom,Antarctica,14,1100,2016,-59.017,-26.533
San Cristobal,Confirmed Eruption,2,Nicaragua,México and Central America,14,1745,2016,12.702,-87.004
Cleveland,Confirmed Eruption,2,United States,Alaska,14,1730,2016,52.825,-169.944
Kerinci,Confirmed Eruption,2,Indonesia,Indonesia,14,3800,2016,-1.697,101.264
Zavodovski,Confirmed Eruption,1,United Kingdom,Antarctica,14,551,2016,-56.3,-27.57
Chikurachki,Confirmed Eruption,2,Russia,Kuril Islands,14,1781,2016,50.324,155.461
Pavlof,Confirmed Eruption,2,United States,Alaska,14,2493,2016,55.417,-161.894
Sangay,Confirmed Eruption,2,Ecuador,South America,14,5286,2016,-2.005,-78.341
Bulusan,Confirmed Eruption,2,Philippines,Philippines and SE Asia,14,1535,2016,12.769,124.056
San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,14,2130,2016,13.434,-88.269
"Chillan, Nevados de",Confirmed Eruption,2,Chile,South America,14,3180,2016,-36.868,-71.378
Soputan,Confirmed Eruption,3,Indonesia,Indonesia,14,1785,2016,1.112,124.737
Momotombo,Confirmed Eruption,2,Nicaragua,México and Central America,14,1270,2015,12.423,-86.539
Kanlaon,Confirmed Eruption,2,Philippines,Philippines and SE Asia,14,2435,2015,10.412,123.132
Marapi,Confirmed Eruption,1,Indonesia,Indonesia,2,2885,2015,-0.38,100.474
Tengger Caldera,Confirmed Eruption,2,Indonesia,Indonesia,14,2329,2015,-7.942,112.95
Lascar,Confirmed Eruption,2,Chile,South America,14,5592,2015,-23.37,-67.73
Rinjani,Confirmed Eruption,2,Indonesia,Indonesia,14,3726,2015,-8.42,116.47
Langila,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,2,1330,2015,-5.525,148.42
Masaya,Confirmed Eruption,1,Nicaragua,México and Central America,1,594,2015,11.985,-86.165
Tofua,Confirmed Eruption,0,Tonga,New Zealand to Fiji,1,515,2015,-19.75,-175.07
Alaid,Confirmed Eruption,1,Russia,Kuril Islands,14,2285,2015,50.861,155.565
Telica,Confirmed Eruption,2,Nicaragua,México and Central America,14,1036,2015,12.606,-86.84
Copahue,Confirmed Eruption,2,Chile-Argentina,South America,14,2953,2015,-37.856,-71.183
Lokon-Empung,Confirmed Eruption,1,Indonesia,Indonesia,14,1580,2015,1.358,124.792
Klyuchevskoy,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,14,4754,2015,56.056,160.642
Cotopaxi,Confirmed Eruption,2,Ecuador,South America,14,5911,2015,-0.677,-78.436
San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,14,2130,2015,13.434,-88.269
Kick 'em Jenny,Confirmed Eruption,0,Grenada,West Indies,16,-185,2015,12.3,-61.64
Gamalama,Confirmed Eruption,2,Indonesia,Indonesia,14,1715,2015,0.8,127.33
Sirung,Confirmed Eruption,1,Indonesia,Indonesia,2,862,2015,-8.508,124.13
Hakoneyama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",2,1438,2015,35.233,139.021
Sabancaya,Confirmed Eruption,1,Peru,South America,14,5960,2015,-15.787,-71.857
"Lengai, Ol Doinyo",Confirmed Eruption,0,Tanzania,Africa and Red Sea,14,2962,2015,-2.764,35.914
Asamayama,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",2,2568,2015,36.406,138.523
Rincon de la Vieja,Confirmed Eruption,1,Costa Rica,México and Central America,2,1916,2015,10.83,-85.324
Pacaya,Confirmed Eruption,1,Guatemala,México and Central America,2,2569,2015,14.382,-90.601
Kuchinoerabujima,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",14,657,2015,30.443,130.217
Wolf,Confirmed Eruption,4,Ecuador,South America,13,1710,2015,0.02,-91.35
Lokon-Empung,Confirmed Eruption,1,Indonesia,Indonesia,14,1580,2015,1.358,124.792
Telica,Confirmed Eruption,2,Nicaragua,México and Central America,14,1036,2015,12.606,-86.84
Bulusan,Confirmed Eruption,2,Philippines,Philippines and SE Asia,14,1535,2015,12.769,124.056
Axial Seamount,Confirmed Eruption,0,Undersea Features,Hawaii and Pacific Ocean,16,-1410,2015,45.95,-130
Calbuco,Confirmed Eruption,4,Chile,South America,14,1974,2015,-41.33,-72.618
Turrialba,Confirmed Eruption,2,Costa Rica,México and Central America,14,3340,2015,10.025,-83.767
San Cristobal,Confirmed Eruption,2,Nicaragua,México and Central America,14,1745,2015,12.702,-87.004
Chikurachki,Confirmed Eruption,3,Russia,Kuril Islands,14,1781,2015,50.324,155.461
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2015,-21.244,55.708
San Miguel,Confirmed Eruption,1,El Salvador,México and Central America,14,2130,2015,13.434,-88.269
Sangay,Confirmed Eruption,2,Ecuador,South America,14,5286,2015,-2.005,-78.341
Soputan,Confirmed Eruption,3,Indonesia,Indonesia,14,1785,2015,1.112,124.737
Klyuchevskoy,Confirmed Eruption,2,Russia,Kamchatka and Mainland Asia,14,4754,2015,56.056,160.642
Hunga Tonga-Hunga Ha'apai,Confirmed Eruption,2,Tonga,New Zealand to Fiji,16,114,2014,-20.536,-175.382
Gamalama,Confirmed Eruption,2,Indonesia,Indonesia,14,1715,2014,0.8,127.33
Villarrica,Confirmed Eruption,1,Chile,South America,14,2847,2014,-39.42,-71.93
Raung,Confirmed Eruption,3,Indonesia,Indonesia,14,3260,2014,-8.119,114.056
Fogo,Confirmed Eruption,3,Cape Verde,Atlantic Ocean,14,2829,2014,14.95,-24.35
Chirinkotan,Confirmed Eruption,2,Russia,Kuril Islands,14,724,2014,48.98,153.48
"Ruiz, Nevado del",Confirmed Eruption,2,Colombia,South America,14,5279,2014,4.892,-75.324
Saunders,Confirmed Eruption,1,United Kingdom,Antarctica,14,843,2014,-57.8,-26.483
Pavlof,Confirmed Eruption,1,United States,Alaska,14,2493,2014,55.417,-161.894
Turrialba,Confirmed Eruption,2,Costa Rica,México and Central America,14,3340,2014,10.025,-83.767
Ontakesan,Confirmed Eruption,3,Japan,"Japan, Taiwan, Marianas",2,3067,2014,35.893,137.48
Rincon de la Vieja,Confirmed Eruption,1,Costa Rica,México and Central America,2,1916,2014,10.83,-85.324
Asosan,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",1,1592,2014,32.884,131.104
Bardarbunga,Confirmed Eruption,0,Iceland,Iceland and Arctic Ocean,14,2000,2014,64.633,-17.516
Pacaya,Confirmed Eruption,1,Guatemala,México and Central America,2,2569,2014,14.382,-90.601
Mayon,Confirmed Eruption,0,Philippines,Philippines and SE Asia,14,2462,2014,13.257,123.685
Kuchinoerabujima,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",14,657,2014,30.443,130.217
San Cristobal,Confirmed Eruption,2,Nicaragua,México and Central America,14,1745,2014,12.702,-87.004
Rabaul,Confirmed Eruption,3,Papua New Guinea,Melanesia and Australia,12,688,2014,-4.271,152.203
Copahue,Confirmed Eruption,1,Chile-Argentina,South America,14,2953,2014,-37.856,-71.183
Manam,Confirmed Eruption,2,Papua New Guinea,Melanesia and Australia,14,1807,2014,-4.08,145.037
"Fournaise, Piton de la",Confirmed Eruption,0,France,Middle East and Indian Ocean,13,2632,2014,-21.244,55.708
Karangetang,Confirmed Eruption,2,Indonesia,Indonesia,14,1797,2014,2.781,125.407
Zhupanovsky,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,3,2899,2014,53.589,159.15
Pavlof,Confirmed Eruption,3,United States,Alaska,14,2493,2014,55.417,-161.894
Sangeang Api,Confirmed Eruption,3,Indonesia,Indonesia,2,1912,2014,-8.2,119.07
Nyamulagira,Confirmed Eruption,0,DR Congo,Africa and Red Sea,13,3058,2014,-1.408,29.2
Ahyi,Confirmed Eruption,0,United States,"Japan, Taiwan, Marianas",16,-75,2014,20.42,145.03
Semeru,Confirmed Eruption,3,Indonesia,Indonesia,14,3657,2014,-8.108,112.922
Krakatau,Confirmed Eruption,1,Indonesia,Indonesia,1,155,2014,-6.102,105.423
Karkar,Confirmed Eruption,1,Papua New Guinea,Melanesia and Australia,14,1839,2014,-4.649,145.964
Merapi,Confirmed Eruption,3,Indonesia,Indonesia,14,2910,2014,-7.54,110.446
Slamet,Confirmed Eruption,2,Indonesia,Indonesia,14,3428,2014,-7.242,109.208
Kelud,Confirmed Eruption,4,Indonesia,Indonesia,14,1730,2014,-7.935,112.314
Karangetang,Confirmed Eruption,1,Indonesia,Indonesia,14,1797,2014,2.781,125.407
San Cristobal,Confirmed Eruption,1,Nicaragua,México and Central America,14,1745,2014,12.702,-87.004
Marapi,Confirmed Eruption,1,Indonesia,Indonesia,2,2885,2014,-0.38,100.474
Kavachi,Confirmed Eruption,1,Solomon Islands,Melanesia and Australia,16,-20,2014,-8.991,157.979
Shishaldin,Confirmed Eruption,1,United States,Alaska,14,2857,2014,54.756,-163.97
Asosan,Confirmed Eruption,1,Japan,"Japan, Taiwan, Marianas",1,1592,2014,32.884,131.104
San Miguel,Confirmed Eruption,2,El Salvador,México and Central America,14,2130,2013,13.434,-88.269
Nishinoshima,Confirmed Eruption,2,Japan,"Japan, Taiwan, Marianas",1,25,2013,27.247,140.874
Merapi,Confirmed Eruption,2,Indonesia,Indonesia,14,2910,2013,-7.54,110.446
Zhupanovsky,Confirmed Eruption,3,Russia,Kamchatka and Mainland Asia,3,2899,2013,53.589,159.15
Barren Island,Confirmed Eruption,2,India,Indonesia,14,354,2013,12.278,93.858
Tangkuban Parahu,Confirmed Eruption,1,Indonesia,Indonesia,14,2084,2013,-6.77,107.6
Zubair Group,Confirmed Eruption,2,Yemen,Africa and Red Sea,13,191,2013,15.05,42.18
Telica,Confirmed Eruption,1,Nicaragua,México and Central America,14,1036,2013,12.606,-86.84
Sinabung,Confirmed Eruption,4,Indonesia,Indonesia,14,2460,2013,3.17,98.392
Etna,Confirmed Eruption,2,Italy,Mediterranean and Western Asia,14,3320,2013,37.748,14.999
Ubinas,Confirmed Eruption,2,Peru,South America,14,5672,2013,-16.355,-70.903
Iliwerung,Confirmed Eruption,0,Indonesia,Indonesia,2,583,2013,-8.532,123.573
Klyuchevskoy,Confirmed Eruption,1,Russia,Kamchatka and Mainland Asia,14,4754,2013,56.056,160.642
